,Symbol,Name,Price,Change,%Change
0,AXP,American Express Co,99.72,0.01,0.01%
1,AAPL,Apple Inc,152.70,-1.22,-0.79%
2,BA,Boeing Co,358.27,-0.34,-0.09%
3,CAT,Caterpillar Inc,132.73,0.91,0.69%
4,CSCO,Cisco Systems Inc,45.61,0.15,0.33%
5,CVX,Chevron Corp,113.51,2.12,1.90%
6,DWDP,DowDuPont Inc,56.33,-0.10,-0.18%
7,XOM,Exxon Mobil Corp,71.40,0.10,0.14%
8,GS,Goldman Sachs Group Inc,197.80,0.90,0.46%
9,HD,Home Depot Inc,177.29,0.40,0.23%
10,IBM,International Business Machines Corp,132.53,-0.36,-0.27%
11,INTC,Intel Corp,49.76,1.82,3.80%
12,JNJ,Johnson & Johnson,127.03,-1.77,-1.37%
13,KO,Coca-Cola Co,47.69,-0.58,-1.20%
14,JPM,JPMorgan Chase & Co,102.74,0.06,0.06%
15,MCD,McDonald's Corp,187.37,1.28,0.69%
16,MMM,3M Co,192.52,0.23,0.12%
17,MRK,Merck & Co Inc,73.17,-2.27,-3.01%
18,MSFT,Microsoft Corp,106.20,-0.51,-0.48%
19,NKE,Nike Inc,80.44,-0.06,-0.07%
20,PFE,Pfizer Inc,40.95,-1.21,-2.87%
21,PG,Procter & Gamble Co,94.30,-0.54,-0.57%
22,TRV,Travelers Companies Inc,124.38,1.36,1.11%
23,UNH,UnitedHealth Group Inc,266.13,-0.89,-0.33%
24,UTX,United Technologies Corp,115.56,-1.48,-1.26%
25,VZ,Verizon Communications Inc,57.07,-0.69,-1.19%
26,V,Visa Inc,137.70,0.69,0.50%
27,WBA,Walgreens Boots Alliance Inc,71.32,-0.39,-0.54%
28,WMT,Walmart Inc,98.36,-0.35,-0.35%
29,DIS,Walt Disney Co,110.55,-0.57,-0.51%
